skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Stipendiat,1,22,0.011494252873563218,0.0022,5.22466039707419
Strategi,5,192,0.05747126436781609,0.0192,2.993295019157088
Studio,1,7,0.011494252873563218,0.0007,16.420361247947454
Subsea,3,41,0.034482758620689655,0.0041,8.410428931875526
Subsurface,1,3,0.011494252873563218,0.0003,38.31417624521073
Superselger,1,2,0.011494252873563218,0.0002,57.47126436781609
Syntetiske data,1,1,0.011494252873563218,0.0001,114.94252873563218
Systemutvikler,2,43,0.022988505747126436,0.0043,5.346164127238706
Systemutvikling,4,66,0.04597701149425287,0.0066,6.966213862765587
Systemvedlikehold,1,2,0.011494252873563218,0.0002,57.47126436781609
Teamleder,1,155,0.011494252873563218,0.0155,0.7415647015202076
Tech Lead,1,4,0.011494252873563218,0.0004,28.735632183908045
Tech lead,1,5,0.011494252873563218,0.0005,22.988505747126435
Teknisk ansvarlig,1,11,0.011494252873563218,0.0011,10.44932079414838
Teknisk koordinering,1,3,0.011494252873563218,0.0003,38.31417624521073
Teknisk leder,2,100,0.022988505747126436,0.01,2.2988505747126435
Teknisk støtte,1,19,0.011494252873563218,0.0019,6.049606775559589
Teknologi,13,164,0.14942528735632185,0.0164,9.111298009531819
Teknologimiljø,1,1,0.011494252873563218,0.0001,114.94252873563218
Teknologiselskap,1,6,0.011494252873563218,0.0006,19.157088122605366
Teknologiutvikling,1,9,0.011494252873563218,0.0009,12.77139208173691
Telefonsalg,2,34,0.022988505747126436,0.0034,6.76132521974307
Termisk fysikk,1,1,0.011494252873563218,0.0001,114.94252873563218
Tidsseriedata,1,1,0.011494252873563218,0.0001,114.94252873563218
Trainee,3,12,0.034482758620689655,0.0012,28.73563218390805
Transaksjonsbehandling,1,1,0.011494252873563218,0.0001,114.94252873563218
Universitet,6,121,0.06896551724137931,0.0121,5.699629524080935
Utvikler,13,90,0.14942528735632185,0.009,16.602809706257986
Utvikling,1,50,0.011494252873563218,0.005,2.2988505747126435
Vedlikehold,3,471,0.034482758620689655,0.0471,0.7321180174244087
Verdipapirer,1,1,0.011494252873563218,0.0001,114.94252873563218
Visuell identitet,1,2,0.011494252873563218,0.0002,57.47126436781609
Vitenskapelig arbeid,1,6,0.011494252873563218,0.0006,19.157088122605366
Vitenskapelig publisering,1,8,0.011494252873563218,0.0008,14.367816091954023
Vue,1,1,0.011494252873563218,0.0001,114.94252873563218
