job_id,skill,title,category,city,esco_uri,esco_label,match_method
bbb57910-83fe-4270-ad81-543f46f9a193,SAP,Innkjøper – 1 års vikariat i internasjonalt industrikonsern,"Innkjøper, Innkjøper, Innkjøpere",PORSGRUNN,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact
d0c9ff09-7edc-4de8-a984-65cddfed8f62,Tekniske tegninger,Experienced CNC Boring Mill Operator Wanted – TOS WHQ 13,"CNC-operatør, dreiemaskin, CNC-operatør, dreiemaskin, Metalldreiere mv.",VESTBY,http://data.europa.eu/esco/skill/59ea80e1-463a-4dba-82c6-d0b6d577d532,tekniske tegninger,exact
1199766e-d583-4b8a-aa6d-b75dcf7cc4bb,.NET,Seniorrådgiver - digital gravferdsmelding - justis- og vergemålsavdelingen,"Programvareutviklere, Senior CMS Fullstack Developer, webutvikler, Full-stack-utvikler, Full-stack-utvikler",TØNSBERG,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,exact
1199766e-d583-4b8a-aa6d-b75dcf7cc4bb,C#,Seniorrådgiver - digital gravferdsmelding - justis- og vergemålsavdelingen,"Programvareutviklere, Senior CMS Fullstack Developer, webutvikler, Full-stack-utvikler, Full-stack-utvikler",TØNSBERG,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,exact
27f29317-5125-4506-9ba2-5df0511a6f63,Digitalisering,Seniorkonsulent/prosjektledelse,"Høyere saksbehandlere i offentlig og privat virksomhet, Seniorkonsulent øvrig offentlig administrasjon, Høyere saksbehandlere i offentlig og privat virksomhet",TRONDHEIM,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
39c4bedd-dfb4-435a-8a0e-1813fdd4b061,IT,Har du blikk for gode brukeropplevelser og samfunnsnyttige tjenester?,"Tjenestedesigner, Tjenestedesigner, Grafiske og multimediadesignere",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
46c974e1-72ef-4670-9135-10f60c42e769,SAP,Forsvaret søker deg som er en erfaren og motivert teknisk saksbehandler konfigurasjonsstyring for basesystemer!,"Høyere saksbehandlere i offentlig og privat virksomhet, Saksbehandler teknisk, naturvitenskapelig utredning, off.adm, Rådgivere/forskere, samfunnsøkonomi, Økonom, økonom",LILLEHAMMER,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact
48e700df-ecc1-4631-98fe-7140712e2ee0,Digitalisering,Konsulent,"Høyere saksbehandlere i offentlig og privat virksomhet, Konsulent (juridisk utredning, offentlig administrasjon), Høyere saksbehandlere i offentlig og privat virksomhet",TRONDHEIM,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
4af7be77-e625-4574-9089-c0920e6af64d,Elektronikk,Er du vår nye elektromedisinske ingeniør?,"Elektronikkingeniører, ingeniør, elektro, Elektroingeniør",LILLEHAMMER,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
513b5aa9-ddb4-4f2e-bc92-58fa1dd934e9,Elektronikk,"Fagarbeider innen Chemical, Biological, Radiological and Nuclear (CBRN) utstyr i Forsvaret?","Serviceelektronikere, Dataelektroniker, Serviceelektronikere",LODDEFJORD,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
684248e0-1e8b-4fa0-bc3b-710e487b7771,GIS,Har du engasjement for å jobbe med naturforvaltning?,"Høyere saksbehandlere i offentlig og privat virksomhet, Rådgiver (offentlig administrasjon), Høyere saksbehandlere i offentlig og privat virksomhet",ARENDAL,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,gis,exact
6b42db40-4095-4887-bf12-07173f7babc4,Informasjonsarkitektur,Digital redaktør,"Redaktør, Redaktør, Andre ledere av produksjon og tjenesteyting",HØNEFOSS,http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,informasjonsarkitektur,exact
