city,skill,job_count,city_total_skill_mentions,city_total_jobs,skill_share,job_share
ALTA,Legemiddelhåndtering,1,617,64,0.0016207455429497568,0.015625
ALTA,Legevakt,1,617,64,0.0016207455429497568,0.015625
ALTA,Lek,2,617,64,0.0032414910858995136,0.03125
ALTA,Logistikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Lærling,1,617,64,0.0016207455429497568,0.015625
ALTA,MO3,1,617,64,0.0016207455429497568,0.015625
ALTA,Mannskap,1,617,64,0.0016207455429497568,0.015625
ALTA,Maritim,3,617,64,0.004862236628849271,0.046875
ALTA,Maritimt arbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Maskinkyndig,2,617,64,0.0032414910858995136,0.03125
ALTA,Maskinpasser,1,617,64,0.0016207455429497568,0.015625
ALTA,Maskinsjef,1,617,64,0.0016207455429497568,0.015625
ALTA,Matbutikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Matlaging,1,617,64,0.0016207455429497568,0.015625
ALTA,Matproduksjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Matros,2,617,64,0.0032414910858995136,0.03125
ALTA,Medisin,1,617,64,0.0016207455429497568,0.015625
ALTA,Medisinsk ansvar,1,617,64,0.0016207455429497568,0.015625
ALTA,Medisinutlevering,1,617,64,0.0016207455429497568,0.015625
ALTA,Mekaniker,2,617,64,0.0032414910858995136,0.03125
ALTA,Menighet,1,617,64,0.0016207455429497568,0.015625
ALTA,Mentor,1,617,64,0.0016207455429497568,0.015625
ALTA,Microsoft,1,617,64,0.0016207455429497568,0.015625
ALTA,Miljøarbeid,3,617,64,0.004862236628849271,0.046875
ALTA,Mobilutvikler,1,617,64,0.0016207455429497568,0.015625
ALTA,Montasje,1,617,64,0.0016207455429497568,0.015625
ALTA,Montør,1,617,64,0.0016207455429497568,0.015625
ALTA,Moteklær,1,617,64,0.0016207455429497568,0.015625
ALTA,Nattjeneste,1,617,64,0.0016207455429497568,0.015625
ALTA,Næringsbygg,1,617,64,0.0016207455429497568,0.015625
ALTA,Nødstrømsaggregat,1,617,64,0.0016207455429497568,0.015625
ALTA,Obstetrikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Offentlig forvaltning,2,617,64,0.0032414910858995136,0.03125
ALTA,Offentlig sektor,2,617,64,0.0032414910858995136,0.03125
ALTA,Omsorg,8,617,64,0.012965964343598054,0.125
ALTA,Omsorgsbolig,3,617,64,0.004862236628849271,0.046875
ALTA,PKK-godkjenning,1,617,64,0.0016207455429497568,0.015625
ALTA,Pakking,1,617,64,0.0016207455429497568,0.015625
ALTA,Palliasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Park,1,617,64,0.0016207455429497568,0.015625
ALTA,Pasientarbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Pasientbehandling,1,617,64,0.0016207455429497568,0.015625
ALTA,Pasientkontakt,1,617,64,0.0016207455429497568,0.015625
ALTA,Pasientoppfølging,1,617,64,0.0016207455429497568,0.015625
ALTA,Passasjerhåndtering,1,617,64,0.0016207455429497568,0.015625
ALTA,Passasjertransport,1,617,64,0.0016207455429497568,0.015625
ALTA,Pedagogisk arbeid,2,617,64,0.0032414910858995136,0.03125
ALTA,Personalansvar,3,617,64,0.004862236628849271,0.046875
ALTA,Personlig assistent,3,617,64,0.004862236628849271,0.046875
ALTA,Personlig pleie,1,617,64,0.0016207455429497568,0.015625
ALTA,Plan og bygg,1,617,64,0.0016207455429497568,0.015625
ALTA,Plan- og bygningsrett,1,617,64,0.0016207455429497568,0.015625
ALTA,Pleie,1,617,64,0.0016207455429497568,0.015625
ALTA,Politi,3,617,64,0.004862236628849271,0.046875
ALTA,Politibetjent,1,617,64,0.0016207455429497568,0.015625
ALTA,Politihøgskole,1,617,64,0.0016207455429497568,0.015625
ALTA,Politiinspektør,1,617,64,0.0016207455429497568,0.015625
ALTA,Politistasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Posttjenester,1,617,64,0.0016207455429497568,0.015625
ALTA,Praktisk arbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Praktisk bistand,2,617,64,0.0032414910858995136,0.03125
ALTA,Prest,1,617,64,0.0016207455429497568,0.015625
ALTA,Primærkontakt,1,617,64,0.0016207455429497568,0.015625
ALTA,Privatmarked,1,617,64,0.0016207455429497568,0.015625
ALTA,Produksjonsarbeider,1,617,64,0.0016207455429497568,0.015625
ALTA,Programmerer,1,617,64,0.0016207455429497568,0.015625
ALTA,Prosessanlegg,1,617,64,0.0016207455429497568,0.015625
ALTA,Prosjektledelse,1,617,64,0.0016207455429497568,0.015625
ALTA,Psykisk helse,1,617,64,0.0016207455429497568,0.015625
ALTA,Psykolog,1,617,64,0.0016207455429497568,0.015625
ALTA,Påtale,1,617,64,0.0016207455429497568,0.015625
